artist,title,top_peak,cosine_sim
Carrie Underwood,Keep Us Safe,36,0.03068900126376985
Chase Rice,Ride,38,0.030848232677298117
Jason Aldean,I Wont Back Down Live From Saturday Night Live,47,0.030885651412633983
Dan  Shay,How Not To,7,0.030891685160088885
Craig Wayne Boyd,I Walk The Line,15,0.030897006664122786
George Strait,Let It Go,29,0.031008771010963915
Dierks Bentley,Black,4,0.031053659544842127
Jake Owen,Made For You,43,0.031084738031997232
Glen Campbell,Im Not Gonna Miss You,21,0.03109213154588233
Brett Young,In Case You Didnt Know,2,0.03111171603771106
Kane Brown,Good As You,17,0.031636833981337875
Jana Kramer,Love,37,0.031703171695680744
Easton Corbin,Are You With Me,46,0.031710330783661124
Love And Theft,If You Ever Get Lonely,43,0.031804371293262565
Craig Wayne Boyd,In Pictures,28,0.03197254431925125
Thomas Rhett,Grave,23,0.03206047979830467
Darius Rucker,Dont,39,0.0320644098999628
Kelsea Ballerini,I Hate Love Songs,28,0.03207202096463118
Sam Hunt,Ex To See,37,0.03210330826302068
Cole Swindell,The Ones Who Got Me Here,50,0.032103313456929974
Garth Brooks,People Loving People,25,0.032301703404059204
Drake White,It Feels Good,38,0.032335655426688995
Trent Harmon,Falling,27,0.03235188010668609
Justin Moore,You Look Like I Need A Drink,12,0.032355798151648095
Thomas Rhett,Star Of The Show,4,0.032362490821839895
Chase Rice,We Goin Out,36,0.032437518490934056
Kane Brown,Excuses,36,0.03246542106699387
Red Marlow,I Pray,16,0.03249991991374523
Chris Stapleton,Fire Away,25,0.03250282173258588
Sugarland,Still The Same,35,0.032615064009095744
Jennifer Nettles,Unlove You,24,0.03269248916575061
Dierks Bentley,Say You Do,5,0.032717826965324784
Brett Young,Mercy,2,0.03280374351681288
Little Big Town,Better Man,1,0.03287051206911138
Mason Ramsey,Famous,4,0.03292860938171915
Cassadee Pope,Wasting All These Tears,5,0.032984126527456435
Luke Combs,She Got The Best Of Me,2,0.03304715515264317
Brett Eldredge,Drunk On Your Love,2,0.033075199750106095
Chris Lane,For Her,17,0.03309122711106371
Big and Rich,Look At You,13,0.033177477184583665
Carrie Underwood,Cry Pretty,5,0.03321774955625821
Carrie Underwood,Relapse,48,0.03322658745596345
Home Free,Angels We Have Heard On High,30,0.03323960141772612
Carly Pearce,Every Little Thing,5,0.033270350331890505
Luke Bryan,Light It Up,4,0.033324556431607616
Hunter Hayes ,Where It All Begins,45,0.03332455649441259
Chris Stapleton,Either Way,17,0.03335628476471268
Dierks Bentley ,Ill Be The Moon,40,0.03336273477415169
Taylor Swift,New Years Day,33,0.03339771135374667
RaeLynn,For A Boy,32,0.033413894886990654
Kacey Musgraves,Keep It To Yourself,40,0.033421293950200506
LANCO,Born To Love You,19,0.03342361636069538
Keith Urban ,Coming Home,11,0.03344243596226496
Kane Brown,Used To Love You Sober,15,0.03349772829166809
Eli Young Band,Saltwater Gospel,43,0.03359205532007298
Dierks Bentley,Riser,26,0.03359891409864569
Sam Hunt,Come Over,42,0.03361453393113063
Florida Georgia Line,Take It Out On Me,32,0.0338770672159211
Brad Paisley ,Without A Fight,23,0.03398156687453983
Dierks Bentley,Pick Up,34,0.03401021218612778
Cole Swindell,Shouldve Ran After You,27,0.03403153260343888
Sir Rosevelt,Something Bout You,42,0.034087919809813114
Chris Lane,Fix,10,0.03410683544839603
Brett Eldredge,Mean To Me,4,0.034142191519219635
Jason Aldean,This Plane Dont Go There,40,0.034160571487083256
Garth Brooks,Ask Me How I Know,13,0.034180997814935096
David Nail,Kiss You Tonight,25,0.03429535058662078
Kane Brown,Heaven,2,0.03432700816104906
Rascal Flatts,I Like The Sound Of That,8,0.03436494433474511
Maren Morris,Once,37,0.03441234794346694
Zac Brown Band,My Old Man,10,0.034454890997816165
Keith Urban,Break On Me,6,0.034486566104468076
Joe Nichols,Yeah,7,0.03458096609801404
Cole Swindell,Youve Got My Number,47,0.03459267930255009
Kane Brown,Lose It,1,0.0345959072387031
Lindsay Ell,Criminal,28,0.03460818839180128
Kelsea Ballerini,Unapologetically,32,0.03465441696080776
Lennon and Maisy,Thats Whats Up,42,0.034679638803062574
Little Big Town,Girl Crush,1,0.034789705290226604
Florida Georgia Line,HOLY,1,0.034840236400223344
Eric Paslay,She Dont Love You,15,0.0348479582604612
Cam,Diane,43,0.034861945369796116
Jason Aldean,Girl Like You,18,0.034863105469983
Thomas Rhett,Leave Right Now,38,0.034864365813288334
RaeLynn,Lonely Call,50,0.03492882152099205
Lady Antebellum,Compass,6,0.03493043525449035
LOCASH,I Know Somebody,4,0.034935881282278515
Rascal Flatts,Riot,27,0.03494364525777309
Chris Stapleton,Nobody To Blame,13,0.03497612171053812
Jennifer Nettles,O Holy Night,46,0.0349943355983599
Ashley Monroe,Hands On You,47,0.035006594859403335
Dustin Lynch,Good Girl,13,0.03500951755435207
Brad Paisley,The Mona Lisa,24,0.0350570224191547
Carrie Underwood,The Girl You Think I Am,38,0.03526421715465908
Lauren Alaina,Next Boyfriend,39,0.03530817387340107
Florida Georgia Line,Hands On You,33,0.03532195874263831
Tim McGraw,Sick Of Me,50,0.03535189255571762
Craig Wayne Boyd,The Old Rugged Cross,7,0.03538476085642316
Old Dominion,No Such Thing As A Broken Heart,4,0.03539036748792038
Luke Bryan,Games,21,0.03553196498089129
Chris Young,Losing Sleep,7,0.03562581122862869
Jake Owen,Down To The Honkytonk,23,0.03571511530670129
Blake Shelton,Ill Name The Dogs,6,0.035739470497277596
Jennifer Nettles,That Girl,37,0.03574247189820706
Tucker Beathard,Rock On,9,0.03576126116790492
Old Dominion,Break Up With Him,3,0.03581607740161281
Jana Kramer,Ive Done Love,35,0.0358213584693808
Reba McEntire,Back To God,25,0.03582425698882403
Dan  Shay,All To Myself,29,0.03585879522616676
Lady Antebellum,Heart Break,22,0.03590332408440806
The Scott Brothers,Hold On,38,0.035947901496619555
Kacey Musgraves,Biscuits,28,0.03596364343519903
Brett Young,Like I Loved You,3,0.035970962588352924
Charles Kelley,The Only One Who Gets Me,39,0.035997548547263496
Chris Stapleton,Last Thing I Needed First Thing This Morning,37,0.03602280936067221
Kelsea Ballerini,Yeah Boy,9,0.03604191571304999
Blake Shelton ,Go Ahead And Break My Heart,13,0.03605261604650355
Morgan Wallen,The Way I Talk,35,0.036072827797963794
Kelsea Ballerini,Peter Pan,1,0.0360902805032172
Easton Corbin,Clockwork,31,0.036146609389309435
Brett Eldredge,Love Someone,46,0.036215102752567424
Lady Antebellum,I Did With You,35,0.03621803801182407
Lennon and Maisy,A Life Thats Good,38,0.03624954814305788
Brett Eldredge,The Long Way,7,0.03630592973806587
Montgomery Gentry,Better Me,40,0.03630831281294853
Maren Morris,I Could Use A Love Song,7,0.03632623299207665
Luke Bryan,Kill The Lights,35,0.03633153092463673
Sara Evans,Infinite Love,39,0.036413435110135665
Dan  Shay,Speechless,1,0.036466936029283206
Nashville Cast,It Aint Yours To Throw Away,32,0.0365014718627995
Sheryl Crow,Callin Me When Im Lonely,37,0.03652292537249065
Blake Shelton,Saviors Shadow,50,0.03659369069086665
Walker Hayes,You Broke Up With Me,9,0.036606989454739905
Kane Brown,Whats Mine Is Yours,34,0.03665040510024428
Eli Young Band,Love Aint,40,0.036656619002155603
Zac Brown Band,From Now On,43,0.036676590188602774
Big and Rich,Run Away With You,17,0.036716754623470224
Blake Shelton,Gonna,4,0.03679179529375799
Kane Brown,I Love That I Hate You,35,0.036864474802981544
Brett Eldredge,Just A Taste,44,0.03692933799193916
Cole Swindell,Break Up In The End,4,0.03708280505642206
Luke Bryan,She Get Me High,33,0.03715157543328395
Cassadee Pope,Take You Home,49,0.03720120838687577
William Michael Morgan,I Met A Girl,8,0.037279543296834666
Thomas Rhett,Vacation,19,0.03728109188806992
Russell Dickerson,Yours,3,0.037292654331838156
Brett Eldredge,Beat Of The Music,6,0.03732874448202711
Miranda Lambert,We Should Be Friends,25,0.037371932726077174
Tyler Rich,The Difference,37,0.03740153381908492
Lee Brice,I Dont Dance,5,0.037410166295038336
Lauren Duski,Deja Vu the voice performance,4,0.03742038806858683
High Valley,Shes With Me,11,0.03744896815242281
Cam,Burning House,2,0.03754389997152537
Carrie Underwood,Smoke Break,4,0.037571470396677256
Carrie Underwood,Love Wins,26,0.03759623377757541
Danielle Bradbery,Friend Zone,41,0.03770146935977552
Blake Shelton ,Lonely Tonight,2,0.037771318116836414
David Lee Murphy,Everythings Gonna Be Alright,9,0.037792306463041
Cole Swindell,All Of It,49,0.03781650600812489
Cam,Mayday,32,0.03781707813588324
Keith Urban,Never Comin Down,32,0.03784048851895897
The Swon Brothers,Later On,21,0.037908206777061464
Hunter Hayes ,Everybodys Got Somebody But Me,18,0.037909835269568856
The Band Perry,Chainsaw,20,0.03805338667197057
Carrie Underwood,What I Never Knew I Always Wanted,32,0.03812659366291744
Dylan Scott,My Girl,3,0.03815377440237722
Chris Stapleton,Traveller,17,0.03823107595947935
Jimmie Allen,Best Shot,5,0.038242660381351004
Jon Pardi,Night Shift,30,0.03830301701991465
Chase Rice,Eyes On You,42,0.038354450900535644
Jordan Davis,Take It From Me,20,0.038400306892379964
Midland,Drinkin Problem,4,0.038452989074552364
Dan  Shay,Already Ready,44,0.03847488895590956
Blake Shelton ,My Eyes,4,0.03849059246273673
Billy Currington,Do I Make You Wanna,5,0.0384994352084762
Tim McGraw,Lookin For That Girl,18,0.03852364824478272
Eric Church,Thats Damn Rock and Roll,43,0.03854964236584627
Nashville Cast,I Will Never Let You Know,39,0.03860902703296542
Michael Ray,Get To You,17,0.03867288723801308
Chris Young ,Think Of You,2,0.03869596574628433
Kacey Musgraves,Butterflies,32,0.038736870040690624
Brantley Gilbert,The Weekend,9,0.03877172429943886
Florida Georgia Line ,This Is How We Roll,1,0.03879354686669672
Thomas Rhett,Make Me Wanna,2,0.03883046430610909
Garth Brooks,Baby Lets Lay Down And Dance,29,0.0388334646651092
Kane Brown,Found You,13,0.038836472093211144
Heartland,I Loved Her First,1,0.03884899809214304
Zac Brown Band,Loving You Easy,4,0.03887860475626614
Sam Hunt,Speakers,40,0.03896030597995049
Blake Shelton,Mine Would Be You,2,0.03896578296666167
Chris Janson,Fix A Drink,10,0.03897007755937897
Jamie Lynn Spears,How Could I Want More,29,0.039015345095356625
Taylor Ray Holbrook,Steal My Kiss,45,0.03902286259425063
Dan  Shay,From The Ground Up,3,0.0390433970681812
Love And Theft,Night That Youll Never Forget,38,0.03909358649733161
Eric Church,Heart Like A Wheel,35,0.03909730727271071
Chris Lane ,Take Back Home Girl,12,0.03909928084370903
Dustin Lynch,Seein Red,5,0.03910405829553888
Blake Shelton,Every Time I Hear That Song,8,0.039186092108132134
Reba McEntire,Going Out Like That,23,0.03922110719641995
Florida Georgia Line,People Back Home,42,0.03930116429434478
Zac Brown Band,Real Thing,34,0.039303677564115055
Tim McGraw and Faith Hill,The Rest Of Our Life,18,0.03931118325389119
Florida Georgia Line,Bumpin The Night,15,0.03933204404016953
Keith Urban,Good Thing,50,0.0393513694219195
Luke Bryan,Play It Again,1,0.03936956486783743
Sir Rosevelt,It Goes On,39,0.03938564289932596
Craig Wayne Boyd,My Babys Got A Smile On Her Face,1,0.039391952260825716
Billy Currington,Dont It,4,0.03939461837769771
Chris Young,Hangin On,8,0.039465314454997805
Thomas Rhett,Die A Happy Man,1,0.03948103198592019
Florida Georgia Line,Simple,2,0.039505951325342625
Chris Janson,Buy Me A Boat,2,0.03956338377366752
Mitchell Tenpenny,Drunk Me,7,0.039607969167777916
Kenny Chesney,The Big Revival,27,0.03963040707163565
Jon Pardi,When Ive Been Drinkin,36,0.03965920552187948
LOCASH,I Love This Life,5,0.03967052911920953
Sturgill Simpson,In Bloom,48,0.0397262636349137
Thomas Rhett,The Day You Stop Lookin Back,47,0.03973404860005442
Cole Swindell,Remember Boys,27,0.039752108889122235
Luke Combs,Beautiful Crazy,6,0.039786391720990605
Big and Rich ,Lovin Lately,19,0.03987046476655776
Seth Ennis,Woke Up In Nashville,45,0.039939149081023584
Thomas Rhett,When I Was Your Man,27,0.03998011051119169
Miranda Lambert ,Somethin Bad,1,0.03999401109090812
Jason Aldean,Reason To Love LA,49,0.04000239218419818
Jon Pardi,She Aint In It,23,0.040053985339960345
Kip Moore,Running For You,25,0.04006125841050947
Chris Young,Im Comin Over,2,0.04006371778443113
Miranda Lambert,Little Red Wagon,5,0.04010859718527841
The Cadillac Three,White Lightning,39,0.040120796932627247
Dierks Bentley,Somewhere On A Beach,1,0.04014462184803702
Lauren Alaina,Doin Fine,34,0.04019377155408804
Kip Moore,More Girls Like You,8,0.04020098636535067
Jason Aldean,You Make It Easy,2,0.040210602504196696
Craig Morgan,Wake Up Lovin You,20,0.040242448492116126
Thomas Rhett,Life Changes,6,0.040249643818028626
Toby Keith,Drunk Americans,33,0.04031112009201214
Blake Shelton,I Lived It,8,0.04032257545712879
Brothers Osborne,21 Summer,25,0.04034085549493169
Sam Hunt,House Party,1,0.04034158883129029
Thomas Rhett,Sweetheart,41,0.0403970817969349
Rascal Flatts,Back To Us,48,0.0404797044638379
Thomas Rhett,When You Look Like That,49,0.04050118573925255
Miranda Lambert ,Smokin And Drinkin,32,0.04051974630361345
Florida Georgia Line ,God Your Mama And Me,4,0.04054465229783057
Dustin Lynch,Mind Reader,8,0.04057193811751738
Jason Aldean,Gettin Warmed Up,33,0.0406035529894893
Keith Urban,Parallel Line,25,0.04065802542808691
Luke Bryan,I See You,1,0.040667240822455854
Hunter Hayes,Tattoo,31,0.04072237266451551
Joey  Rory,When Im Gone,21,0.04072798133201657
Kelsea Ballerini,Legends,10,0.04074153296140223
Dan  Shay,What You Do To Me,39,0.040746769165688645
Little Big Town,Happy People,40,0.04084631486213667
Carrie Underwood,Like Ill Never Love You Again,39,0.04084934352760435
Kane Brown,Setting The Night On Fire,45,0.04090210720511613
Jason Aldean,Lights Come On,3,0.04091834436577503
LOCASH,Ring On Every Finger,22,0.040935936591005015
Jordan Davis,Singles You Up,4,0.04095349067727405
Jessie James Decker,Lights Down Low,38,0.040985339298075456
Eric Paslay,Song About A Girl,18,0.04100933120543101
Darius Rucker,For The First Time,7,0.04106332776281297
RaeLynn,Queens Dont,40,0.041064559592037024
RaeLynn,God Made Girls,7,0.041073995706559674
Josh Abbott Band,Wasnt That Drunk,46,0.041079293903864646
Hunter Hayes,Wild Card,40,0.04110498372950906
Midland,Make A Little,23,0.041109540335399646
Jana Kramer,Dammit,48,0.041141282892520226
Taylor Swift,Red,2,0.04116696453656356
Chris Stapleton,Might As Well Get Stoned,44,0.04118983700085827
Tim McGraw,Overrated,32,0.041204545007717336
Sam Hunt,Make You Miss Me,2,0.04120598636241012
Blake Shelton,A Guy With A Girl,3,0.04122982774322886
Luke Combs,Mustve Never Met You,14,0.04125090327145624
Clare Dunn,Move On,48,0.0412570188202355
Old Dominion,Written In The Sand,3,0.04125775468527311
Hunter Hayes,21,26,0.04127081345300146
Jon Langston,Right Girl Wrong Time,44,0.04129035281187035
Maddie and Tae,Fly,9,0.04135419816551629
Chris Stapleton,Millionaire,17,0.041367131052236175
Kenny Chesney,Til Its Gone,8,0.04140781519255819
Brantley Gilbert,Bottoms Up,1,0.04142072953746642
Florida Georgia Line,Island,48,0.04143765957129943
Brett Young,Here Tonight,29,0.041441878026713695
Old Dominion,Hotel Key,5,0.04146255265413975
Sara Evans,Slow Me Down,19,0.04154038231592705
Lee Brice,Good Man,43,0.0415762874942344
Kelsea Ballerini,Dibs,7,0.0415801625510325
Rascal Flatts,Yours If You Want It,13,0.04161775873802293
George Strait,I Got A Car,23,0.04162816990882318
Gloriana,Trouble,36,0.04163250780536287
Luke Bryan,Heres To The Farmer,33,0.04165940533209372
Carlton Anderson,Drop Everything,49,0.041684075295973524
Justin Moore,Somebody Else Will,9,0.04169649196196188
Neal McCoy,Take A Knee My Ass,49,0.04170447730313016
Kacey Musgraves,High Horse,36,0.04173477356176752
Maren Morris,My Church,5,0.04189378286288124
Dierks Bentley ,Burning Man,10,0.04190405703652076
Kenny Chesney,All The Pretty Girls,7,0.04192539056950224
Kip Moore,Im To Blame,24,0.041981317149189686
Florida Georgia Line ,May We All,2,0.04199777617467044
Jake Owen,I Was Jack You Were Diane,7,0.042040405446679724
Brantley Gilbert,Read Me My Rights,46,0.042067211091856065
Dierks Bentley,I Hold On,3,0.04222516211768141
Annie LeBlanc,Fly,34,0.04223010473303895
Danielle Bradbery,The Heart Of Dixie,16,0.04223282276960439
Sam Hunt,Drinkin Too Much,16,0.04223639594332737
Eric Church ,Kill A Word,9,0.04228714959167076
Dierks Bentley,What The Hell Did I Say,35,0.04234659594486641
Will Hoge,Strong,42,0.042380370173268414
Lee Brice,Boy,14,0.042407011335759345
Miranda Lambert,Platinum,50,0.04241582939414364
Jason Aldean,In Case You Dont Remember,50,0.042424978703668445
Brantley Gilbert,Tried To Tell Ya,47,0.042434726985242095
Florida Georgia Line,Sun Daze,3,0.0424935862607668
Dustin Lynch,Wild In Your Smile,32,0.04252783184614352
A Thousand Horses,This Aint No Drunk Dial,30,0.042535358436725304
Brad Paisley,Today,7,0.04257055231606666
Lady Antebellum,Golden,50,0.04264574832152944
The Cadillac Three,Party Like You,48,0.04281221635754665
Luke Bryan,Most People Are Good,4,0.04287638873825982
Brad Paisley,Shattered Glass,44,0.04288061361831805
Jason Aldean,They Dont Know,8,0.04291733109512754
Brett Eldredge,Wanna Be That Song,3,0.04292568143384611
Thomas Rhett,Unforgettable,4,0.042944171409853335
Little Big Town,Sober,27,0.04297624483147129
Thomas Rhett,Crash And Burn,2,0.043020989537496945
Tyler Farr,Withdrawals,47,0.0430367096461889
Dierks Bentley,Living,49,0.043109084932638944
Dan  Shay,Show You Off,29,0.0431108766056372
Lady Antebellum,You Look Good,8,0.04313703283209539
Randy Houser,Song Number 7,46,0.04315845298806594
Hunter Hayes,Storyline,37,0.04315891895794958
Chris Janson,Holdin Her,25,0.04325938828120762
Easton Corbin,Baby Be My Love Song,11,0.04328669775305005
Frankie Ballard,Young and Crazy,8,0.04333936125282113
Dylan Scott,Crazy Over Me,36,0.04334705887963013
Justin Moore,Kinda Dont Care,28,0.043383970159505986
Old Dominion,Snapback,4,0.04346502180520234
Zac Brown Band,Ill Be Your Man Song For A Daughter,50,0.04351789703610325
Dustin Lynch,Hell Of A Night,7,0.043586293926899465
Calhoun and hosier,Salute The Brave,46,0.04358818211431786
Eric Paslay,High Class,32,0.04359318068486946
Tim McGraw,Top Of The World,11,0.0436731482580904
Keith Urban,Somewhere In My Car,3,0.043678662916561015
Kenny Chesney,Flora Bama,26,0.04370032777440301
Zac Brown Band,Beautiful Drug,5,0.04370416105579488
Kacey Musgraves,The Trailer Song,46,0.04378090613036492
Easton Corbin,Yup,44,0.043812805198726386
Dan  Shay,What Keeps You Up At Night,50,0.043820822819297535
Scotty McCreery,This Is It,20,0.043880587422498174
Morgan Evans,Kiss Somebody,11,0.043925981477691584
Brad Paisley,Last Time For Everything,26,0.04393477167504514
Jon Pardi,Head Over Boots,4,0.04396247427589859
Luke Combs,A Long Way,33,0.043994045599096115
Dierks Bentley,Woman Amen,7,0.044002794777752104
Luke Bryan,Good Lookin Girl,31,0.044004195991474426
Thomas Rhett ,Playing With Fire,40,0.044019953301912405
Toby Keith,Wacky Tobaccy,45,0.04409460619476769
Chuck Wicks,Us Again,36,0.04427109524903048
Brad Paisley,River Bank,12,0.04429995265294682
Jason Aldean,Rearview Town,24,0.04433321436478028
Dan  Shay ,Keeping Score,32,0.044395021845458515
Reba McEntire,Just Like Them Horses,37,0.04439635476279753
Kacey Musgraves,Space Cowboy,30,0.04443459659471634
Carly Pearce,Hide The Wine,21,0.04448856565799313
Scotty McCreery,See You Tonight,10,0.04451206971527494
Dustin Lynch,Id Be Jealous Too,27,0.04454768018719614
Luke Bryan,Way Way Back,42,0.04455600492346024
Taylor Swift,All Too Well,17,0.0445612401398053
Kid Rock,Po Dunk,27,0.0446362580174999
Brett Young,Sleep Without You,3,0.044659551147764
Spensha Baker,Old Soul,37,0.044665871295427775
The Band Perry,Comeback Kid,42,0.044681804821868454
Sam Hunt,Body Like A Back Road,1,0.04484460903076284
Maren Morris,Rich,8,0.04484949983897329
David Nail,Broke My Heart,46,0.04488603134806209
Michael Ray,One That Got Away,38,0.04489544227431946
Brantley Gilbert,Outlaw In Me,45,0.045010793099638784
Kacey Musgraves,Slow Burn,42,0.045013849433525877
Brothers Osborne,Rum,34,0.04504044592184185
Brothers Osborne,Stay A Little Longer,4,0.04511344937786725
Florida Georgia Line,Talk You Out Of It,19,0.045123892575030994
Joe Nichols,Hard To Be Cool,32,0.04513362250070718
Craig Wayne Boyd,Take It Easy,31,0.04514888835663419
Hillary Scott and The Scott Family,Thy Will,27,0.0451824377832018
Adam Craig,Just A Phase,38,0.04518543352322374
Chris Stapleton,Tryin To Untangle My Mind,45,0.04526618926281204
Carrie Underwood,Something In The Water,1,0.045266555248380386
Little Big Town,Summer Fever,32,0.045269513642306726
Michael Ray,Kiss You In The Morning,10,0.04527371881681468
The Band Perry,Gentle On My Mind,35,0.045338556546059255
Chase Bryant,Little Bit Of You,16,0.04539723982087725
Luke Bryan ,Home Alone Tonight,3,0.04544818705662067
Clare Dunn,Tuxedo,44,0.045469471442494996
Jon Pardi,Heartache On The Dance Floor,5,0.04548184920227781
Old Dominion,Make It Sweet,28,0.04553354543662704
Chris Janson,Drunk Girl,12,0.04555691931110537
Cody Johnson,On My Way To You,25,0.04556158448023246
Kenny Chesney,Wild Child,9,0.04569629171979196
Carrie Underwood,Little Toy Guns,6,0.045703771001622366
Michael Ray,Think A Little Less,3,0.04576957580570109
Dylan Scott,Hooked,6,0.045789660530300806
Luke Bryan,You And The Beach,39,0.045914999336068636
Blake Shelton,At The House,49,0.04596090048337418
Kane Brown,Thunder In The Rain,30,0.04596590585655249
Luke Combs,When It Rains It Pours,1,0.045984855767312774
Chase Rice,Ready Set Roll,5,0.04602854635598042
Eric Church,A Man Who Was Gonna Die Young,24,0.0460373911478976
Thomas Rhett,Get Me Some Of That,4,0.04605314254934141
Walker McGuire,Til Tomorrow,50,0.04609556141016479
Hayden Panettiere,Dont Put Dirt On My Grave Just Yet,34,0.04611870487519253
Dan  Shay,Alone Together,39,0.04615213506221058
Little Big Town,Day Drinking,4,0.046241596562421855
Kristian Bush,Trailer Hitch,25,0.04629290847823993
Maren Morris,80s Mercedes,11,0.046337787669483925
LANCO,Greatest Love Story,1,0.046366515405535075
Miranda Lambert,Automatic,4,0.04644026899733049
Granger Smith,Youre In It,50,0.046514309484044204
Maddie and Tae,Shut Up And Fish,30,0.046527951224799934
Jerrod Niemann,A Little More Love,41,0.04652981439254043
Brett Eldredge,No Stopping You,50,0.0465411200245209
Eli Young Band,Drunk Last Night,3,0.04662574236336917
Jason Aldean,Any Ol Barstool,5,0.046634999699083274
Brett Eldredge ,Baby Its Cold Outside,26,0.046729470804674565
Cole Swindell,Middle Of A Memory,3,0.046737812067322755
Home Free,God Bless The USA,47,0.04674081452197746
Jason Aldean,Burnin It Down,1,0.046792844006334725
Florida Georgia Line,Itz Just What We Do,48,0.04680788564377442
Zac Brown Band,Castaway,17,0.046857843883099444
Lee Brice,Rumor,35,0.04688096848312475
Keith Urban,Wasted Time,4,0.04707025319892091
Tyler Farr ,Damn Good Friends,46,0.04707041743823643
Billy Currington,We Are Tonight,12,0.047089401568974024
Love And Theft,Whiskey On My Breath,31,0.047097698238225044
Tim McGraw,Humble And Kind,1,0.04711178350284065
Jason Aldean,Two Night Town,18,0.04712460171363612
Brantley Gilbert,One Hell Of An Amen,5,0.04719426669775801
Brantley Gilbert,If You Want A Bad Boy,47,0.04724799800420964
Luke Bryan,Like We Aint Ever,37,0.04732135509664075
Craig Campbell,Outskirts Of Heaven,32,0.04734658983826261
Lady Antebellum,Somebody Elses Heart,47,0.04740678621100441
Kane Brown,Last Minute Late Night,31,0.04740796940761632
Chase Rice,Everybody We Know Does,26,0.04745157530342771
